id,pk,slug,name,nickname,date_of_birth,height_centimeters,reach_inches,leg_reach_inches,fighting_style,stance,nationality
RmlnaHRlck5vZGU6MTgzNw==,1837,justin-baesman-1837,Justin Baesman,Raw Deal,1981-06-03,177.8,,,,,United States
RmlnaHRlck5vZGU6MTgzODI=,18382,rico-franco-18382,Rico Franco,Rico,,173.0,,,,,England
RmlnaHRlck5vZGU6MTk0MTU=,19415,juan-adams-19415,Juan Adams,The Kraken,1992-01-16,196.0,81.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTk0NA==,1944,maurice-jackson-1944,Maurice Jackson,The Gorilla,1981-01-07,206.0,,,,,United States
RmlnaHRlck5vZGU6MTk0OA==,1948,michael-page-1948,Michael Page,Venom,1987-04-07,190.0,77.0,,Striker,Orthodox,England
RmlnaHRlck5vZGU6MTk1MTI=,19512,devon-schwan-19512,Devon Schwan,The Savage,,185.4,,,,,United States
RmlnaHRlck5vZGU6MTk2NQ==,1965,mike-richman-1965,Mike Richman,The Marine,1985-06-23,176.0,68.5,,Striker,Southpaw,United States
RmlnaHRlck5vZGU6MTk3Ng==,1976,muhammed-lawal-1976,Muhammed Lawal,King Mo,1981-01-11,183.0,78.0,,Wrestler,Southpaw,United States
RmlnaHRlck5vZGU6MTk4MTM=,19813,kory-moegenburg-19813,Kory Moegenburg,The Monster,1991-10-19,178.0,70.0,,,,United States
RmlnaHRlck5vZGU6MTk4MTY=,19816,ray-lopez-19816,Ray Lopez,,1986-01-30,180.3,,,,,United States
RmlnaHRlck5vZGU6MTk4MTk=,19819,harris-stephenson-19819,Harris Stephenson,Sandman,1989-03-24,183.0,,,,,"
United States
"
RmlnaHRlck5vZGU6MTk5MDM=,19903,louis-king-19903,Louis King,K.O.,1984-12-27,,,,,,England
RmlnaHRlck5vZGU6MTkyNg==,1926,martin-brown-1926,Martin Brown,Trey,1984-08-17,180.3,73.0,,,,United States
RmlnaHRlck5vZGU6MTkzMDI=,19302,nikolai-alexiev-19302,Nikolai Alexiev,,1986-04-24,180.3,,,,,Bulgaria
RmlnaHRlck5vZGU6MjA0MQ==,2041,rick-hawn-2041,Rick Hawn,Genghis,1976-09-15,176.0,71.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MjA0NA==,2044,rico-disciullo-2044,Rico DiSciullo,,1986-10-12,172.7,71.0,,,Orthodox,United States
