id,pk,slug,event_id,fighter_1_id,fighter_2_id,winner_id,bout_type,weight_class,weight_lbs,outcome_method,outcome_method_details,end_round,end_round_time,fighter_1_odds,fighter_2_odds,is_cancelled
RmlnaHROb2RlOjMyMzA2,32306,helen-peralta-vs-christine-ferea-32306,RXZlbnROb2RlOjMxNzk=,RmlnaHRlck5vZGU6MTUwNzA=,RmlnaHRlck5vZGU6MTQzMzI=,RmlnaHRlck5vZGU6MTUwNzA=,MC,Flyweight,126.0,Decision,Unanimous,5.0,5:00,,,0
RmlnaHROb2RlOjMyMzA3,32307,isaac-vallie-flagg-vs-melvin-guillard-32307,RXZlbnROb2RlOjMxNzk=,RmlnaHRlck5vZGU6MTM3Nw==,RmlnaHRlck5vZGU6Njc3,RmlnaHRlck5vZGU6MTM3Nw==,MC,Lightweight,154.0,KO/TKO,Hand Injury,3.0,2:00,,,0
RmlnaHROb2RlOjMyMzA1,32305,chase-sherman-vs-arnold-adams-32305,RXZlbnROb2RlOjMxNzk=,RmlnaHRlck5vZGU6ODE5Mg==,RmlnaHRlck5vZGU6MTM4NDU=,RmlnaHRlck5vZGU6ODE5Mg==,CO,,,Decision,Unanimous,5.0,5:00,,,0
RmlnaHROb2RlOjMyMzA0,32304,jim-alers-vs-leonard-garcia-32304,RXZlbnROb2RlOjMxNzk=,RmlnaHRlck5vZGU6MzkwMQ==,RmlnaHRlck5vZGU6NjYx,RmlnaHRlck5vZGU6MzkwMQ==,ME,Lightweight,154.0,KO/TKO,,1.0,1:38,,,0
RmlnaHROb2RlOjMyMzEz,32313,delaney-owen-vs-sheena-brandenburg-32313,RXZlbnROb2RlOjMxNzg=,RmlnaHRlck5vZGU6NjI1MQ==,RmlnaHRlck5vZGU6MjAzNTA=,RmlnaHRlck5vZGU6NjI1MQ==,MC,Strawweight,115.0,KO/TKO,,1.0,1:01,,,0
RmlnaHROb2RlOjczNjMx,73631,david-mundell-vs-ronnie-forney-73631,RXZlbnROb2RlOjMxNzg=,RmlnaHRlck5vZGU6MTEwMzg=,RmlnaHRlck5vZGU6NDgxOTI=,RmlnaHRlck5vZGU6MTEwMzg=,MC,Catchweight,175.0,KO/TKO,,1.0,1:09,,,0
RmlnaHROb2RlOjMyMzE0,32314,gustavo-trujillo-vs-rob-morrow-32314,RXZlbnROb2RlOjMxNzg=,RmlnaHRlck5vZGU6MjU0ODQ=,RmlnaHRlck5vZGU6MjYxMDM=,RmlnaHRlck5vZGU6MjU0ODQ=,MC,Catchweight,200.0,KO/TKO,,1.0,0:35,,,0
RmlnaHROb2RlOjczNjMy,73632,jared-warren-vs-brian-maxwell-73632,RXZlbnROb2RlOjMxNzg=,RmlnaHRlck5vZGU6MzUyMTI=,RmlnaHRlck5vZGU6Mjc3NjY=,RmlnaHRlck5vZGU6MzUyMTI=,MC,,,KO/TKO,,1.0,1:59,,,0
RmlnaHROb2RlOjMyMzEw,32310,jim-alers-vs-julian-lane-32310,RXZlbnROb2RlOjMxNzg=,RmlnaHRlck5vZGU6MzkwMQ==,RmlnaHRlck5vZGU6MTgzNQ==,RmlnaHRlck5vZGU6MzkwMQ==,CO,Lightweight,154.0,KO/TKO,,2.0,0:53,,,0
RmlnaHROb2RlOjczNjMz,73633,zach-juusola-vs-fred-pierce-73633,RXZlbnROb2RlOjMxNzg=,RmlnaHRlck5vZGU6MzUzOQ==,RmlnaHRlck5vZGU6MTM0OTY=,RmlnaHRlck5vZGU6MzUzOQ==,MC,Catchweight,200.0,KO/TKO,,2.0,0:33,,,0
RmlnaHROb2RlOjczNjMw,73630,abdiel-velazquez-vs-rick-caruso-73630,RXZlbnROb2RlOjMxNzg=,RmlnaHRlck5vZGU6OTExNQ==,RmlnaHRlck5vZGU6Mjk3MDk=,RmlnaHRlck5vZGU6OTExNQ==,MC,Catchweight,147.0,KO/TKO,,2.0,0:11,,,0
RmlnaHROb2RlOjczNjI5,73629,dat-nguyen-vs-travis-thompson-73629,RXZlbnROb2RlOjMxNzg=,RmlnaHRlck5vZGU6MzUyMDk=,RmlnaHRlck5vZGU6MzUxOTQ=,RmlnaHRlck5vZGU6MzUyMDk=,MC,Bantamweight,135.0,Decision,Unanimous,5.0,5:00,,,0
RmlnaHROb2RlOjMyMzEx,32311,lorenzo-hunt-vs-reggie-pena-32311,RXZlbnROb2RlOjMxNzg=,RmlnaHRlck5vZGU6MTc4OTU=,RmlnaHRlck5vZGU6Mjc4Ng==,RmlnaHRlck5vZGU6MTc4OTU=,MC,Catchweight,200.0,KO/TKO,Doctor Stoppage,1.0,2:00,,,0
RmlnaHROb2RlOjMyMzA5,32309,gabriel-gonzaga-vs-antonio-silva-32309,RXZlbnROb2RlOjMxNzg=,RmlnaHRlck5vZGU6NjY5,RmlnaHRlck5vZGU6MTMyMw==,RmlnaHRlck5vZGU6NjY5,ME,,,KO/TKO,,2.0,1:50,,,0
RmlnaHROb2RlOjMyMzEy,32312,joey-angelo-vs-walber-brito-de-barros-32312,RXZlbnROb2RlOjMxNzg=,RmlnaHRlck5vZGU6MjM2,RmlnaHRlck5vZGU6NjQyNw==,RmlnaHRlck5vZGU6MjM2,MC,Catchweight,200.0,Decision,Split,5.0,5:00,,,0
RmlnaHROb2RlOjMyMzE2,32316,joey-beltran-vs-chase-sherman-32316,RXZlbnROb2RlOjMxNzc=,RmlnaHRlck5vZGU6OTYz,RmlnaHRlck5vZGU6ODE5Mg==,RmlnaHRlck5vZGU6OTYz,CO,,,Decision,Unanimous,5.0,5:00,,,0
RmlnaHROb2RlOjMyMzE1,32315,jason-knight-vs-artem-lobov-32315,RXZlbnROb2RlOjMxNzc=,RmlnaHRlck5vZGU6Nzg1OA==,RmlnaHRlck5vZGU6MzYxOA==,RmlnaHRlck5vZGU6Nzg1OA==,ME,Lightweight,154.0,KO/TKO,Corner Stoppage,5.0,0:29,,,0
RmlnaHROb2RlOjMyMzE3,32317,johnny-bedford-vs-charles-bennett-32317,RXZlbnROb2RlOjMxNzc=,RmlnaHRlck5vZGU6OTYy,RmlnaHRlck5vZGU6MjIyMg==,RmlnaHRlck5vZGU6OTYy,MC,Catchweight,147.0,KO/TKO,Hand Injury,2.0,2:00,,,0
RmlnaHROb2RlOjMyMzE5,32319,wes-combs-vs-adrian-miles-32319,RXZlbnROb2RlOjMxNzc=,RmlnaHRlck5vZGU6NjEz,RmlnaHRlck5vZGU6NjQ1Mw==,RmlnaHRlck5vZGU6NjEz,MC,,,Disqualificaton,Illegal Ground Strike,,,,,0
RmlnaHROb2RlOjMyMzIw,32320,hector-lombard-vs-david-mundell-32320,RXZlbnROb2RlOjMxNzY=,RmlnaHRlck5vZGU6MTE2Mg==,RmlnaHRlck5vZGU6MTEwMzg=,RmlnaHRlck5vZGU6MTE2Mg==,ME,,,Decision,Unanimous,5.0,5:00,,,0
RmlnaHROb2RlOjcwMTM0,70134,jim-alers-vs-kaleb-harris-70134,RXZlbnROb2RlOjMxNzY=,RmlnaHRlck5vZGU6MzkwMQ==,RmlnaHRlck5vZGU6MzUyMDA=,RmlnaHRlck5vZGU6MzkwMQ==,CO,Lightweight,155.0,Decision,Majority,5.0,5:00,,,0
RmlnaHROb2RlOjMyMzIx,32321,luis-palomino-vs-elvin-brito-32321,RXZlbnROb2RlOjMxNzY=,RmlnaHRlck5vZGU6MTg5OQ==,RmlnaHRlck5vZGU6MzQ2Nw==,RmlnaHRlck5vZGU6MTg5OQ==,MC,Lightweight,155.0,Decision,Unanimous,5.0,5:00,,,0
RmlnaHROb2RlOjMyMzIy,32322,ulysses-diaz-vs-brian-maxwell-32322,RXZlbnROb2RlOjMxNzY=,RmlnaHRlck5vZGU6MzQwMzE=,RmlnaHRlck5vZGU6Mjc3NjY=,RmlnaHRlck5vZGU6MzQwMzE=,PL,Catchweight,195.0,KO/TKO,,1.0,1:13,,,0
