id,pk,slug,name,date,location,venue,event_order
RXZlbnROb2RlOjQ0NDg=,4448,bkfc-34-palomino-vs-shoaff,BKFC 34: Palomino vs. Shoaff,2022-12-03,"Hollywood, Florida",Seminole Hard Rock Hotel & Casino,47
RXZlbnROb2RlOjQ1MTk=,4519,bkfc-35-cedeno-vs-slaveski,BKFC 35: Cedeno vs. Slaveski,2023-01-27,"Myrtle Beach, South Carolina",John T. Rhodes Sports Center,48
RXZlbnROb2RlOjQ1MjY=,4526,bkfc-knuckle-mania-3,BKFC: Knuckle Mania 3,2023-02-17,"Albuquerque, New Mexico",Tingley Coliseum,49
RXZlbnROb2RlOjQ1MjU=,4525,bkfc-36-adams-vs-belcher,BKFC 36: Adams vs. Belcher,2023-02-24,"Kenner, Louisiana",Pontchartrain Convention Center,50
RXZlbnROb2RlOjQ1MjQ=,4524,bkfc-37-tierney-vs-lindsey,BKFC 37: Tierney vs. Lindsey,2023-03-04,"London, England",Crystal Palace National Sports Centre,51
RXZlbnROb2RlOjQ1OTk=,4599,bkfc-38-nguyen-vs-straus,BKFC 38: Nguyen vs. Straus,2023-03-17,"Delray Beach, Florida",Delray Beach Tennis Center,52
RXZlbnROb2RlOjQ1NzY=,4576,bkfc-39-barnett-jr-vs-alvarez,BKFC 39: Barnett Jr. vs. Alvarez,2023-03-24,"Norfolk, Virginia",Scope Arena,53
RXZlbnROb2RlOjQ2NzA=,4670,bkfc-38-nguyen-vs-straus,BKFC 38: Nguyen vs. Straus,2023-04-21,"Hollywood, Florida",Seminole Hard Rock Hotel & Casino,54
RXZlbnROb2RlOjQ2NDg=,4648,bkfc-40-holmes-vs-christie,BKFC 40: Holmes vs. Christie,2023-04-22,"Leeds, United Kingdom",Planet Ice Leeds,55
RXZlbnROb2RlOjQ2MjA=,4620,bkfc-41-perry-vs-rockhold,BKFC 41: Perry vs. Rockhold,2023-04-29,"Broomfield, Colorado",1STBANK Center,56
RXZlbnROb2RlOjQ2NTg=,4658,bkfc-42-soto-vs-goodjohn,BKFC 42: Soto vs. Goodjohn,2023-05-12,"Greenville, South Carolina",Bon Secours Wellness Arena,57
RXZlbnROb2RlOjQ2NjQ=,4664,bkfc-43-alexander-vs-smith,BKFC 43: Alexander vs. Smith,2023-05-19,"Omaha, Nebraska",Liberty First Arena,58
RXZlbnROb2RlOjQ3MDE=,4701,bkfc-44-stewart-vs-lopez,BKFC 44: Stewart vs. Lopez,2023-06-09,"Great Falls, Montana",Four Seasons Arena,59
RXZlbnROb2RlOjQ3NTM=,4753,bkfc-45-palomino-vs-lilley,BKFC 45: Palomino vs. Lilley,2023-06-23,"Hollywood, Florida",Seminole Hard Rock Hotel & Casino,60
RXZlbnROb2RlOjQ3NDY=,4746,bkfc-46-franco-vs-tenaglia,BKFC 46: Franco vs. Tenaglia,2023-07-01,"Newcastle, United Kingdom",Walker Activity Dome,61
RXZlbnROb2RlOjQ3NjQ=,4764,bkfc-47-mundell-vs-richman,BKFC 47: Mundell vs. Richman,2023-07-14,"Lakeland, Florida",Jenkins Arena,62
RXZlbnROb2RlOjUwMTY=,5016,bkfc-48-dodson-vs-ridge,BKFC 48: Dodson vs. Ridge,2023-08-11,"Albuquerque, New Mexico",Tingley Coliseum,63
RXZlbnROb2RlOjUxMTQ=,5114,bkfc-prospect-series-1,BKFC Prospect Series 1,2023-08-24,"Miami, Florida",Miami-Dade Fairgrounds,64
RXZlbnROb2RlOjUwODI=,5082,bkfc-49-slaveski-vs-lindsey,BKFC 49: Slaveski vs. Lindsey,2023-08-25,"Miami, Florida",Miami-Dade Fairgrounds,65
RXZlbnROb2RlOjUxNDU=,5145,bkfc-50-hunt-vs-camozzi,BKFC 50: Hunt vs. Camozzi,2023-09-22,"Denver, Colorado",1STBANK Center,66
RXZlbnROb2RlOjUxNTE=,5151,bkfc-51-hart-vs-shah,BKFC 51: Hart vs. Shah,2023-09-29,"Salem, Virginia",Salem Civic Center,67
RXZlbnROb2RlOjUyOTA=,5290,bkfc-prospect-series-2,BKFC Prospect Series 2,2023-10-14,"Liverpool, England, United Kingdom",Liverpool Olympia,68
RXZlbnROb2RlOjUxNTA=,5150,bkfc-52-barnett-vs-richardson,BKFC 52: Barnett vs. Richardson,2023-10-20,"Columbia, South Carolina",Colonial Life Arena,69
RXZlbnROb2RlOjUyOTE=,5291,bkfc-53-mundell-vs-coltrane,BKFC 53: Mundell vs. Coltrane,2023-11-03,"Orlando, Florida",Orange County Convention Center,70
RXZlbnROb2RlOjUxNzk=,5179,bkfc-thailand-5,BKFC: Thailand 5,2023-11-04,"Pattaya, Thailand",Pattaya Exhibition and Convention Hall,71
RXZlbnROb2RlOjUxNjc=,5167,bkfc-54-dimitrov-vs-zhelyazkov,BKFC 54: Dimitrov vs. Zhelyazkov,2023-11-17,"Sofia, Bulgaria",Arena Sofia,72
RXZlbnROb2RlOjUyOTQ=,5294,bkfc-55-christie-vs-warren,BKFC 55: Christie vs. Warren,2023-11-18,"Leeds, England",Planet Ice Leeds,73
RXZlbnROb2RlOjUzMDc=,5307,bkfc-56-perry-vs-alvarez,BKFC 56: Perry vs. Alvarez,2023-12-02,"Salt Lake City, Utah",Maverik Center,74
RXZlbnROb2RlOjUzODg=,5388,bkfc-prospect-series-3,BKFC Prospect Series 3,2024-01-27,"Albuquerque, New Mexico, United States",Revel Arena,75
RXZlbnROb2RlOjUzODQ=,5384,bkfc-57-palomino-vs-trout,BKFC 57: Palomino vs. Trout,2024-02-02,"Hollywood, Florida",Seminole Hard Rock Hotel & Casino,76
RXZlbnROb2RlOjU0NDk=,5449,bkfc-prospect-series-manassas,BKFC Prospect Series: Manassas,2024-02-16,"Manassas, Virginia",The Salisbury Center,77
RXZlbnROb2RlOjUzNTQ=,5354,bkfc-prospect-series-canada,BKFC Prospect Series: Canada,2024-03-02,"Enoch, Alberta, Canada",River Cree Resort & Casino,78
RXZlbnROb2RlOjU1MjA=,5520,bkfc-fight-night-miami,BKFC Fight Night: Miami,2024-03-15,"Miami, Florida",Vivo! Dolphin Mall,79
RXZlbnROb2RlOjU0NDg=,5448,bkfc-58-markulev-vs-kolev,BKFC 58: Markulev vs. Kolev,2024-03-22,"Sofia, Bulgaria",Arena Sofia,80
RXZlbnROb2RlOjU0OTE=,5491,bkfc-59-dodson-vs-aguero,BKFC 59: Dodson vs. Aguero,2024-03-29,"Albuquerque, New Mexico",Tingley Coliseum,81
RXZlbnROb2RlOjU1MDc=,5507,bkfc-60-lilley-vs-tenaglia,BKFC 60: Lilley vs. Tenaglia,2024-04-06,"Milton Keynes, United Kingdom",,82
