bout_id,offer_type_id,is_not,average_odds,fighter_pk,description,not_description
RmlnaHROb2RlOjQxOTY5,STRAIGHT,0,179,4660.0,,
RmlnaHROb2RlOjQxNzAw,STRAIGHT,0,-101,31138.0,,
RmlnaHROb2RlOjQxNzAw,STRAIGHT,0,-127,3718.0,,
RmlnaHROb2RlOjQxODgx,STRAIGHT,0,113,30512.0,,
RmlnaHROb2RlOjQxODgx,STRAIGHT,0,-146,2563.0,,
RmlnaHROb2RlOjQxMzk4,STRAIGHT,0,275,10893.0,,
RmlnaHROb2RlOjQxMzk4,STRAIGHT,0,-347,1948.0,,
RmlnaHROb2RlOjQxOTY4,STRAIGHT,0,-145,6017.0,,
RmlnaHROb2RlOjQxOTY4,STRAIGHT,0,113,3688.0,,
RmlnaHROb2RlOjQxODk2,STRAIGHT,0,-251,24439.0,,
RmlnaHROb2RlOjQxODk2,STRAIGHT,0,190,38601.0,,
RmlnaHROb2RlOjQxOTY1,STRAIGHT,0,273,1377.0,,
RmlnaHROb2RlOjQxOTY1,STRAIGHT,0,-360,41285.0,,
RmlnaHROb2RlOjQxODIx,STRAIGHT,0,192,3403.0,,
RmlnaHROb2RlOjQxODIx,STRAIGHT,0,-251,1035.0,,
RmlnaHROb2RlOjQyNTE1,STRAIGHT,0,-349,16294.0,,
RmlnaHROb2RlOjQyNTE1,STRAIGHT,0,258,27766.0,,
RmlnaHROb2RlOjQyNTE0,STRAIGHT,0,108,826.0,,
RmlnaHROb2RlOjQyNTE0,STRAIGHT,0,-139,21443.0,,
RmlnaHROb2RlOjQyNTk4,STRAIGHT,0,416,30512.0,,
RmlnaHROb2RlOjQyNTk4,STRAIGHT,0,-488,35181.0,,
RmlnaHROb2RlOjQyODg0,STRAIGHT,0,-500,8528.0,,
RmlnaHROb2RlOjQyODg0,STRAIGHT,0,375,36949.0,,
RmlnaHROb2RlOjQyNjY3,STRAIGHT,0,-140,41786.0,,
RmlnaHROb2RlOjQyNjY3,STRAIGHT,0,111,15245.0,,
RmlnaHROb2RlOjQyNzA1,STRAIGHT,0,375,1190.0,,
RmlnaHROb2RlOjQyNzA1,STRAIGHT,0,-495,989.0,,
RmlnaHROb2RlOjQyOTEy,STRAIGHT,0,185,1493.0,,
RmlnaHROb2RlOjQyOTEy,STRAIGHT,0,-238,2927.0,,
RmlnaHROb2RlOjQyOTgz,STRAIGHT,0,-104,20542.0,,
RmlnaHROb2RlOjQyOTgz,STRAIGHT,0,-124,26811.0,,
RmlnaHROb2RlOjQzMDQy,STRAIGHT,0,-203,253.0,,
RmlnaHROb2RlOjQzMDQy,STRAIGHT,0,161,26920.0,,
RmlnaHROb2RlOjQzMDA3,STRAIGHT,0,-250,7842.0,,
RmlnaHROb2RlOjQzMDA3,STRAIGHT,0,179,8657.0,,
RmlnaHROb2RlOjQzMDY3,STRAIGHT,0,118,22973.0,,
RmlnaHROb2RlOjQzMDY3,STRAIGHT,0,-152,15083.0,,
RmlnaHROb2RlOjQzMDA4,STRAIGHT,0,160,6582.0,,
RmlnaHROb2RlOjQzMDA4,STRAIGHT,0,-204,22980.0,,
RmlnaHROb2RlOjQzMTMx,STRAIGHT,0,-225,173.0,,
RmlnaHROb2RlOjQzMTMx,STRAIGHT,0,163,1260.0,,
RmlnaHROb2RlOjYyODg2,STRAIGHT,0,-192,170.0,,
RmlnaHROb2RlOjYyODg2,STRAIGHT,0,153,49033.0,,
RmlnaHROb2RlOjQzNDA3,STRAIGHT,0,-232,173.0,,
RmlnaHROb2RlOjQzNDA3,STRAIGHT,0,182,35476.0,,
RmlnaHROb2RlOjYyODg1,STRAIGHT,0,-171,45463.0,,
RmlnaHROb2RlOjYyODg1,STRAIGHT,0,143,43005.0,,
RmlnaHROb2RlOjQzMDY2,STRAIGHT,0,-131,264.0,,
RmlnaHROb2RlOjQzMDY2,STRAIGHT,0,101,306.0,,
RmlnaHROb2RlOjQzMDA5,STRAIGHT,0,291,9499.0,,
RmlnaHROb2RlOjQzMDA5,STRAIGHT,0,-400,17879.0,,
RmlnaHROb2RlOjYyOTM3,STRAIGHT,0,126,43535.0,,
RmlnaHROb2RlOjYyOTM3,STRAIGHT,0,-160,31252.0,,
RmlnaHROb2RlOjQyOTU2,STRAIGHT,0,156,209.0,,
RmlnaHROb2RlOjQyOTU2,STRAIGHT,0,-200,963.0,,
RmlnaHROb2RlOjQyNjUz,STRAIGHT,0,152,2126.0,,
RmlnaHROb2RlOjQyNjUz,STRAIGHT,0,-202,39445.0,,
RmlnaHROb2RlOjQzMDc0,STRAIGHT,0,341,16223.0,,
RmlnaHROb2RlOjQzMDc0,STRAIGHT,0,-483,1899.0,,
RmlnaHROb2RlOjQzNzE1,STRAIGHT,0,-531,20659.0,,
RmlnaHROb2RlOjQzNzE1,STRAIGHT,0,366,45049.0,,
RmlnaHROb2RlOjQzOTYw,STRAIGHT,0,-190,5847.0,,
RmlnaHROb2RlOjQzOTYw,STRAIGHT,0,150,2736.0,,
RmlnaHROb2RlOjQzODQy,STRAIGHT,0,178,47383.0,,
RmlnaHROb2RlOjQzODQy,STRAIGHT,0,-229,7689.0,,
RmlnaHROb2RlOjQzOTEz,STRAIGHT,0,-423,8014.0,,
RmlnaHROb2RlOjQzOTEz,STRAIGHT,0,316,41429.0,,
RmlnaHROb2RlOjQzOTE0,STRAIGHT,0,208,9051.0,,
RmlnaHROb2RlOjQzOTE0,STRAIGHT,0,-271,24439.0,,
RmlnaHROb2RlOjQzOTE1,STRAIGHT,0,-454,1035.0,,
RmlnaHROb2RlOjQzOTE1,STRAIGHT,0,331,35615.0,,
RmlnaHROb2RlOjQzNjk5,STRAIGHT,0,-105,13845.0,,
RmlnaHROb2RlOjQzNjk5,STRAIGHT,0,-123,582.0,,
RmlnaHROb2RlOjYyODk2,STRAIGHT,0,500,20542.0,,
RmlnaHROb2RlOjYyODk2,STRAIGHT,0,-800,48578.0,,
RmlnaHROb2RlOjQzOTQy,STRAIGHT,0,-446,27786.0,,
RmlnaHROb2RlOjQzOTQy,STRAIGHT,0,318,6931.0,,
RmlnaHROb2RlOjYyODk1,STRAIGHT,0,-211,35200.0,,
RmlnaHROb2RlOjYyODk1,STRAIGHT,0,162,41285.0,,
RmlnaHROb2RlOjYyODk5,STRAIGHT,0,251,48580.0,,
RmlnaHROb2RlOjYyODk5,STRAIGHT,0,-346,45538.0,,
RmlnaHROb2RlOjQzOTEx,STRAIGHT,0,-105,42946.0,,
RmlnaHROb2RlOjQzOTEx,STRAIGHT,0,-124,15245.0,,
RmlnaHROb2RlOjYyODk3,STRAIGHT,0,-428,50275.0,,
RmlnaHROb2RlOjYyODk3,STRAIGHT,0,303,8528.0,,
RmlnaHROb2RlOjYyODk4,STRAIGHT,0,-147,8195.0,,
RmlnaHROb2RlOjYyODk4,STRAIGHT,0,114,45147.0,,
RmlnaHROb2RlOjQ0MDcw,STRAIGHT,0,-473,8863.0,,
RmlnaHROb2RlOjQ0MDcw,STRAIGHT,0,350,4660.0,,
RmlnaHROb2RlOjQ0MzMy,STRAIGHT,0,-449,35209.0,,
RmlnaHROb2RlOjQ0MzMy,STRAIGHT,0,325,1594.0,,
RmlnaHROb2RlOjQ0NzU3,STRAIGHT,0,-114,17716.0,,
RmlnaHROb2RlOjQ0NzU3,STRAIGHT,0,-114,29923.0,,
RmlnaHROb2RlOjU5MzUz,STRAIGHT,0,-124,51587.0,,
RmlnaHROb2RlOjU5MzUz,STRAIGHT,0,-106,51586.0,,
RmlnaHROb2RlOjU5MzUy,STRAIGHT,0,236,51353.0,,
RmlnaHROb2RlOjU5MzUy,STRAIGHT,0,-319,39446.0,,
RmlnaHROb2RlOjQ0NDk5,STRAIGHT,0,-412,35181.0,,
RmlnaHROb2RlOjQ0NDk5,STRAIGHT,0,300,31593.0,,
RmlnaHROb2RlOjU5MzUw,STRAIGHT,0,101,51114.0,,
RmlnaHROb2RlOjU5MzUw,STRAIGHT,0,-131,42216.0,,
RmlnaHROb2RlOjQ0NzU2,STRAIGHT,0,-184,14700.0,,
RmlnaHROb2RlOjQ0NzU2,STRAIGHT,0,145,36994.0,,
RmlnaHROb2RlOjQ0Nzgx,STRAIGHT,0,170,29801.0,,
RmlnaHROb2RlOjQ0Nzgx,STRAIGHT,0,-219,24900.0,,
RmlnaHROb2RlOjU5MzUx,STRAIGHT,0,238,9577.0,,
RmlnaHROb2RlOjU5MzUx,STRAIGHT,0,-326,43004.0,,
RmlnaHROb2RlOjQ1MDMz,STRAIGHT,0,466,1594.0,,
RmlnaHROb2RlOjQ1MDMz,STRAIGHT,0,-675,35209.0,,
RmlnaHROb2RlOjQ1Mjgx,STRAIGHT,0,110,3704.0,,
RmlnaHROb2RlOjQ1Mjgx,STRAIGHT,0,-138,43853.0,,
RmlnaHROb2RlOjQ0NjM5,STRAIGHT,0,301,6141.0,,
RmlnaHROb2RlOjQ0NjM5,STRAIGHT,0,-424,14332.0,,
