slug,name,wins,losses,draws,division,reach,height,nickname,dob,nationality,social_media
brett-hudson,BRETT HUDSON,0,2,0,Lightweight,68in / 173cm,1.7526,HEARTLESS,05/1987,United States of America,https://www.instagram.com/BRETT5150HUDSON
brett-lowry,Brett Lowry,0,2,0,Men Flyweight,,,,,,
brett-may,Brett May,0,1,0,Heavyweight,,,,,United Kingdom,
brett-shoenfelt,BRETT SHOENFELT,0,1,0,Middleweight,71in / 180cm,1.778,SHOWTIME,07/1989,United States of America,https://www.instagram.com/showtime_mma_brand/
brett-williams,Brett Williams,2,1,0,Middleweight,,,,10/1993,United States of America,
brian-hyslop,BRIAN HYSLOP,1,1,0,Bantamweight,65in / 65cm,1.651,BRAVEHEART,12/1986,United Kingdom,
brian-jackson,BRIAN JACKSON,1,2,0,Middleweight,,,ACTION,08/1981,United States of America,
brian-kleb,BRIAN KLEB,0,0,0,Welterweight,,,,,,
brian-maronek,Brian Maronek,0,1,0,Light Heavyweight,,1.87,Quicksand,11/1981,United States of America,https://www.facebook.com/QuicksandRiggs
brian-maxwell,Brian Maxwell,1,9,0,Light Heavyweight,78in / 198.12cm,72,Mr Red Rims,08/1987,United States of America,
bridger-bercier,BRIDGER BERCIER,0,1,0,Heavyweight,,,,,United States of America,
britain-hart,BRITAIN HART,10,3,0,Strawweight,66in / 167.64cm,67,,02/1990,United States of America,https://www.instagram.com/teambritainhart/
brittany-horton,BRITTANY HORTON,0,1,0,Strawweight,67in / 170cm,65,,08/1992,United States of America,
brock-walker,BROCK WALKER,1,1,0,Heavyweight,69in / 175cm,1.7526,ALPHA DAWG,08/1985,United States of America,
brok-weaver,Brok Weaver,0,1,0,Welterweight,73,1.83,Chata Tuska,12/1991,United States of America,
brooke-evans-i9fru,BROOKE EVANS,1,0,0,Women Flyweight,64in / 162cm,1.651,BARE KNUCKLE BROOKE,04/1987,United States of America,https://www.instagram.com/BAREKNUCKLEBROOKE
bruce-abramski,BRUCE ABRAMSKI,1,1,0,Cruiserweight,76,74,,09/1984,United States of America,https://www.instagram.com/bruce.abramski/
bruce-lutchmedial,Bruce Lutchmedial,1,2,0,Lightweight,69.0 in / 175cm,70,,07/1991,United States of America,https://www.instagram.com/bruceironlion/
brutal-jake-bostwick,Jake Bostwick,4,2,0,Middleweight,67in/170cm,68,Brutal,10/1989,United States of America,https://www.instagram.com/brutalbostwick/
bryan-b-mo-mortensen,Bryan 'B-Mo' Mortensen,0,0,0,Welterweight,,1.78,B-Mo,03/1988,United States of America,https://www.instagram.com/bmo_tivated/
bryan-creighton,BRYAN CREIGHTON,0,1,0,Featherweight,61in / 155cm,1.651,THE BIG BAD WOLF,05/1986,United Kingdom,https://www.instagram.com/p/C5ESy8osF78/?hl=en
bryan-cromer,Bryan Cromer,0,0,0,Heavyweight,,,,,United States of America,
bryan-duran,BRYAN DURAN,8,1,0,Featherweight,70 in / 178cm,67,EL GALLO,08/1995,Cuba,https://www.instagram.com/bryanelgalloduran/
bryan-mcdowell,BRYAN McDOWELL,1,1,0,Middleweight,76in / 193cm,1.905,ICEMAN,01/1995,United States of America,https://www.instagram.com/icemancatch/
bryant-acheson,BRYANT ACHESON,5,0,0,Heavyweight,78in / 198cm,75,DEFIANT,02/1985,United States of America,https://www.instagram.com/defiantbryant_/
bryant-mcclain,BRYANT MCCLAIN,0,2,0,Middleweight,74in / 188cm,73,,02/1992,United States of America,https://www.instagram.com/irishbryantmcclain/
